지점명,지점주소,경도,위도,횟수
DT성수T,서울 성동구 동일로 111,127.0637671,37.54263686,425
TA방배 AS,서울 서초구 방배로 231,126.9895714,37.49369904,417
KLAM송파AS,서울 송파구 위례성대로 124,127.1254913,37.51234808,398
렉서스 서대전AS,대전 서구 벌곡로 1358,127.3554331,36.30248374,394
토요타 광산AS,광주 광산구 북문대로 480,126.8447504,35.19807025,361
토요타 용산AS,서울 용산구 한강대로 92,126.9675227,37.52817593,353
KLAM원주AS,강원 원주시 무실밤골길 16,127.9230059,37.32743954,336
CH영등포양평AS,서울 영등포구 영등포로5길 6,126.8847301,37.52346606,336
AJ안양AS,경기 안양시 동안구 관악대로 265,126.9522657,37.40259329,334
DA창원AS,경남 창원시 마산회원구 봉양로 157,128.604014,35.21837383,333
렌터카_광주,광주 서구 회재로 771,126.8515861,35.11581097,323
IR김해AS,경남 김해시 김해대로 2427,128.8923431,35.22766509,319
IVY전주AS,전북 전주시 덕진구 기린대로 759,127.0996263,35.85609544,307
IVY제주AS,제주특별자치도 제주시 연삼로 98,126.5028905,33.49299214,307
DN 부산AS,부산 해운대구 좌동로 25,129.1695585,35.16849551,303
렉서스 광진AS,서울 광진구 천호대로 690,127.0909728,37.54952113,293
HS춘천AS,강원 춘천시 춘주로 56,127.7162928,37.86373973,293
BV 인천  AS,인천 중구 서해대로 401,126.6321091,37.46241441,290
HS성산AS,서울 마포구 모래내로 17,126.9048051,37.56451905,288
토요타 대전AS,대전 서구 벌곡로 1358,127.3554331,36.30248374,286
렉서스 분당AS,경기 성남시 분당구 서현로439번길 1,127.1453657,37.374141,274
렌터카_대구,대구 북구 매전로 73,128.5439121,35.91294335,269
BN본사,서울 성동구 동일로 111,127.0637671,37.54263686,265
렉서스 인천AS,인천 남동구 성리로 76,126.7095146,37.44934438,264
CH의정부AS,경기 의정부시 동일로 100,127.0545384,37.69805554,227
BA하남 스튜디오,경기 하남시 미사대로 750,127.2237405,37.54543649,220
토요타 일산AS,경기 고양시 일산동구 동국로 112,126.8037082,37.68175649,216
CH구리AS,경기 구리시 동구릉로 23,127.1314485,37.60287879,200
H청주AS,충북 청주시 서원구 남이면 2순환로 1786-1,127.4760014,36.59412379,192
AJ부천AS,경기 부천시 길주로 423,126.789281,37.50454438,182
렉서스 천안아산AS,충남 천안시 서북구 번영로 627,127.1295977,36.8541923,179
WB전주 AS,전북특별자치도 전주시 덕진구 정여립로 1078,127.0828041,35.84507477,174
HS논현AS,서울 강남구 언주로 617,127.0357099,37.5111155,171
KLAM울산AS,울산 남구 화합로 219,129.3392984,35.54437383,158
렉서스 해운대AS,부산 해운대구 해운대로 293,129.1319079,35.17450041,158
BA APO,경기 수원시 권선구 권선로 308-5,126.9878388,37.25806784,157
Polestar,서울 강남구 학동로 343,127.0406117,37.51744121,144
렉서스 수원AS,경기 수원시 팔달구 경수대로 514-4,127.0289277,37.27147262,143
렉서스 울산AS,울산 남구 화합로 24,129.3433868,35.5272638,137
HS대전AS,대전 대덕구 신탄진로583번길 11,127.4216251,36.43068355,136
BA 본사 평촌 전시장,경기 안양시 동안구 시민대로 339,126.9680605,37.3964286,133
HS분당판교AS,경기 성남시 분당구 판교로 182,127.0956369,37.40001976,130
H강남대치AS,서울 강남구 영동대로 313,127.066129,37.50230515,128
폴스타_SK렌터카송도,인천 연수구 컨벤시아대로 160,126.6435679,37.39036508,127
SI 수원AS,경기 용인시 기흥구 중부대로 13,127.0703986,37.26855279,126
VAG 대전 AS,대전 대덕구 대덕대로1409번길 1,127.4055313,36.44615167,120
SCL세종 AS,세종특별자치시 장군면 장기로 650,127.2099355,36.48945214,110
IVY순천AS,전남 순천시 해룡면 상성길 174-5,127.5411384,34.93503353,108
GJ대전 AS,대전 대덕구 신탄진로 341,127.4244524,36.41041836,102
KS용산 AS,서울 용산구 한강대로 257,126.9725561,37.54124515,96
도이치아우토MKT,경기 용인시 기흥구 중부대로 20,127.0709546,37.2673401,93
IAC중부,인천 중구 서해대로180번길 65,126.6288269,37.44187368,92
TY서대구AS,대구 달서구 와룡로 105,128.5365355,35.84211687,87
KL성산AS,서울 마포구 월드컵로36길 22,126.9039488,37.56661929,84
JS전주 AS,전북 완주군 이서면 콩쥐팥쥐로 964,127.0051838,35.81972121,82
렉서스 제주AS,제주특별자치도 제주시 일주서로 7661,126.4651713,33.49463394,81
웅진데모지점,서울 송파구 백제고분로 509,127.1151744,37.51581817,75
KLAM하남AS,경기 하남시 감일남로 24,127.142191,37.50604069,75
UA제주 AS,제주특별자치도 제주시 연삼로 111,126.5042805,33.49365515,72
토요타 제주AS,제주특별자치도 제주시 일주서로 7661,126.4651713,33.49463394,69
HD 콜센터,서울 서초구 효령로55길 45-13,127.01359,37.48665014,67
KL부천 BPS,경기 부천시 오정구 송내대로 450,126.7618635,37.52325232,65
BN수원AS,경기 수원시 권선구 권선로 308-5,126.9878388,37.25806784,64
IA금정 AS,부산 금정구 중앙대로 1661,129.0911634,35.2326292,62
IT분당AS,경기 성남시 분당구 대왕판교로 231,127.1012278,37.36427519,57
WK파주,경기 파주시 소라지로195번길 110,126.6888623,37.73829517,55
효성_차량관리,서울 서초구 서초대로38길 12,127.0053816,37.49049503,54
차량관리_마제스타,서울 서초구 서초대로38길 12,127.0053816,37.49049503,52
SS수완AS,광주 광산구 임방울대로 565,126.8234669,35.20884532,49
차란차_홈서비스,경기 수원시 권선구 권선로 308-5,126.9878388,37.25806784,47
TY포항AS,경북 포항시 북구 새천년대로 519,129.3494227,36.02133445,47
EV화성AS,경기 화성시 동탄지성로306번길 58-5,127.0514499,37.22525337,47
토요타 천안아산AS,충남 천안시 서북구 번영로 627,127.1295977,36.8541923,45
VCK H 테스트,서울 성북구 길음로13길 11,127.020227,37.60822141,36
PLS 폴스타 팀,경기 평택시 포승읍 서동대로 437-100,126.8757024,36.94004245,35
KLAM강릉AS,강원특별자치도 강릉시 율곡로 3008,128.8918165,37.77088632,34
렉서스 강서AS,서울 강서구 화곡로66길 71,126.8576214,37.55714215,30
IR진주AS,경남 진주시 내동면 내동로 129,128.0817422,35.15575342,29
HA대구 AS,대구 서구 서대구로63길 5,128.5566982,35.88623746,29
NT콜센터,전북 전주시 덕진구 신복로 180,127.0991651,35.86453373,28
GJ순천 AS,전남 순천시 왕지5길 4,127.5226377,34.97186819,28
TSQL 하남,경기 하남시 감일로 166-1,127.15586,37.51406112,28
IA양산 AS,경남 양산시 상북면 양산대로 1222,129.0479084,35.37791789,26
DS M존,부산 해운대구 해운대해변로265번길 5,129.1603641,35.1600294,25
DA수원 출고팀,경기 용인시 기흥구 중부대로 20,127.0709546,37.2673401,23
KJ송파 AS,서울 송파구 오금로 132,127.1095684,37.51108576,23
렉서스 강북AS,서울 강북구 도봉로 173,127.0266656,37.6241715,22
WE분당 AS,경기 성남시 분당구 새마을로 31,127.1342901,37.38387678,21
VAG 청원 AS,충북 청주시 서원구 남이면 연청로 1249-6,127.4100615,36.53168897,20
VAG 청주 AS,충북 청주시 흥덕구 청주역로 132,127.381166,36.6280942,20
POC수원,경기 수원시 권선구 권선로 308-5,126.987674,37.2582784,20
KLAM서산AS,충남 서산시 서해로 3684-1,126.4795138,36.78685356,19
MBK,서울 중구 한강대로 416,126.9737513,37.55550363,19
SI 분당AS,경기 성남시 분당구 새마을로 81,127.1394123,37.38351026,19
GJ성수 AS,서울 성동구 성수일로6길 10,127.0509195,37.54510309,18
데모지점,서울 성동구 동일로 111,127.0637671,37.54263686,16
WE동탄 AS,경기 화성시 동탄순환대로 763,127.1042199,37.20895332,16
IVY군산AS,전북특별자치도 군산시 번영로 155,126.7362127,35.9657997,15
GCAR,서울 성동구 동일로 111,127.0637691,37.54263514,14
SI 강북AS,서울 성동구 성수이로20길 38,126.6288269,37.44187368,13
HA수성 AS,대구 수성구 수성로 247,128.6125532,35.84765842,13
KS구리 AS,경기 구리시 벌말로 84,127.1472675,37.58411806,13
SY송파 SR,서울 송파구 오금로 179,127.1144475,37.50938571,12
DT동대문T,서울 동대문구 천호대로 329,127.0566181,37.56440627,12
토요타 강남AS,서울 강남구 언주로 811,127.0328729,37.52269079,11
GJ삼성 AS,서울 강남구 삼성로 541,127.0544606,37.5099428,11
IAC부평,인천 계양구 아나지로148번길 13,126.7081416,37.52415793,10
Media,서울 동대문구 천호대로 329,127.0566181,37.56440627,10
UA민락 AS,부산 수영구 무학로 60,129.1204114,35.16086578,10
GJ논현 AS,서울 강남구 언주로133길 14,127.0340384,37.51639407,9
HD평동AS,광주 광산구 평동산단로 170-19,126.7709957,35.12250495,8
토요타 성수AS,서울 성동구 뚝섬로15길 9,127.0599294,37.53835065,8
토요타 수원AS,경기 용인시 기흥구 중부대로 321,127.1028895,37.27110706,7
SMITH일산,경기 고양시 일산동구 일산로 418,126.7801288,37.67205822,7
WE안양 AS,경기 안양시 동안구 벌말로 87,126.9684667,37.39628968,7
WE용인 AS,경기 용인시 기흥구 용구대로2469번길 145,127.1045446,37.3193939,7
HS기흥AS(중고차수리전문),경기 용인시 기흥구 중부대로 23-2_,127.0718353,37.26877799,6
UA울산 AS,울산 남구 정동로 127,129.3442919,35.54541908,6
UA사상 AS,부산 사상구 학감대로191번길 9,128.9879538,35.14772812,6
SI 동대구AS,대구 동구 안심로55길 22,128.7164869,35.86811747,5
